lga,elevation_above_sea_level,Australian_Statistical_Geography_2016_ID,lgaLabel
http://www.wikidata.org/entity/Q21942585,1,SSC14169,Warregah Island
http://www.wikidata.org/entity/Q21882539,1,SSC41548,Wellington East
http://www.wikidata.org/entity/Q595542,2,SSC50881,Mandurah
http://www.wikidata.org/entity/Q805263,1.3,SSC10162,Ballina
http://www.wikidata.org/entity/Q3388556,2,SSC13207,Pimlico
http://www.wikidata.org/entity/Q3811395,2,SSC50700,Jurien Bay
http://www.wikidata.org/entity/Q5297396,2,SSC11277,Dora Creek
http://www.wikidata.org/entity/Q6164104,2,SSC12002,Jaspers Brush
http://www.wikidata.org/entity/Q6498237,2,SSC12281,Laughtondale
http://www.wikidata.org/entity/Q6913331,2,SSC12727,Morpeth
http://www.wikidata.org/entity/Q7230578,2,SSC51247,Port Denison
http://www.wikidata.org/entity/Q9291876,2,SSC11898,Hexham
http://www.wikidata.org/entity/Q14935592,2,SSC33057,Wellington Point
http://www.wikidata.org/entity/Q16898594,2,SSC41156,Point Lowly
http://www.wikidata.org/entity/Q21903105,2,SSC13582,South Grafton
http://www.wikidata.org/entity/Q21909663,2,SSC11970,Ilarwill
http://www.wikidata.org/entity/Q21911757,2,SSC11639,Gladstone
http://www.wikidata.org/entity/Q21912764,2,SSC11370,Eatonsville
http://www.wikidata.org/entity/Q21957613,2,SSC13136,Palmers Island
http://www.wikidata.org/entity/Q606344,3,SSC13984,Tweed Heads
http://www.wikidata.org/entity/Q805266,3,LGA10250,Ballina Shire
http://www.wikidata.org/entity/Q1020987,3,SSC21440,Lakes Entrance
http://www.wikidata.org/entity/Q1579722,3,SSC60626,St Helens
http://www.wikidata.org/entity/Q2248512,3,SSC22453,Tarwin Lower
http://www.wikidata.org/entity/Q3472028,3,SSC22223,Sandringham
http://www.wikidata.org/entity/Q5130726,3,SSC30623,Clear Island Waters
http://www.wikidata.org/entity/Q5292120,3,SSC60161,Don
http://www.wikidata.org/entity/Q5395812,3,SSC50490,Erskine
http://www.wikidata.org/entity/Q5476447,3,SSC40453,Fowlers Bay
http://www.wikidata.org/entity/Q6948075,3,SSC40987,Mypolonga
http://www.wikidata.org/entity/Q6966350,3,SSC41004,Narrung
http://www.wikidata.org/entity/Q7314359,3,SSC13352,Repton
http://www.wikidata.org/entity/Q7569017,3,SSC51379,South Yunderup
http://www.wikidata.org/entity/Q8032658,3,SSC14384,Woodford Island
http://www.wikidata.org/entity/Q16841917,3,SSC10347,Bilambil
http://www.wikidata.org/entity/Q16891726,3,SSC31188,Godwin Beach
